"","neg","zero","low","2","3","4","high","neg","zero","low","2","3","4","high"
"","PanelA:Three-factor:Rit每RFt=ai+bi(RMt每RFt)+siSMBt+hiHMLt+eit","","","","","","","","","","","","",""
"","","","","a","","","","","","","t(a)","","",""
"small","0.2","0","0.02","0.08","0.18","-0.15","-0.57","3.34","-0.05","0.28","1.1","2.47","-1.9","-6"
"2","0.12","0.05","0.08","0.1","0.06","0.04","-0.44","2.02","0.44","1.17","1.45","0.82","0.62","-5.62"
"3","0.24","0.04","0.06","0.19","0.13","0.02","-0.37","3.57","0.32","0.74","2.66","1.78","0.27","-4.43"
"4","0.25","0.02","-0.04","0.01","0.21","0.01","-0.28","3.55","0.13","-0.52","0.18","2.85","0.17","-2.89"
"big","0.15","0.17","0.08","0.06","0.15","0.02","-0.36","2.65","1.22","1.08","0.91","2.04","0.26","-4.16"
"","Panel B: Five-factor: Rit 每 RFt = ai + bi(RMt 每 RFt) + siSMBt + hiHMLOt + riRMWt + ciCMAt + eit ","","","","","","","","","","","","",""
"","","","","a","","","","","","","t(a)","","",""
"small","0.11","-0.04","0","0.05","0.25","-0.03","-0.34","1.77","-0.52","-0.05","0.75","3.36","-0.37","-4.04"
"2","-0.03","-0.05","0","0.02","0.04","0.14","-0.24","-0.47","-0.4","0.04","0.28","0.58","2.03","-3.27"
"3","0.07","-0.02","-0.04","0.13","0.13","0.11","-0.11","1.18","-0.18","-0.55","1.81","1.73","1.37","-1.47"
"4","0.07","-0.18","-0.19","-0.09","0.23","0.16","0.02","1.11","-1.38","-2.43","-1.22","3.01","1.97","0.27"
"big","0.02","-0.01","-0.07","0.04","0.17","0.21","-0.18","0.3","-0.09","-1.1","0.62","2.23","2.53","-2.21"
"","","","","h","","","","","","","t(h)","","",""
"small","0.27","0.2","0.21","0.12","-0.05","-0.02","-0.22","9.22","4.91","5.91","3.63","-1.35","-0.51","-5.45"
"2","0.24","0.32","0.26","0.05","0.02","-0.02","-0.13","9.45","5.74","7.68","1.37","0.59","-0.56","-3.75"
"3","0.2","0.23","0.34","0.1","0","0.05","-0.05","6.77","3.93","9.5","3.01","0.1","1.42","-1.53"
"4","0.19","0.02","0.17","0.09","-0.05","-0.1","0.06","6","0.37","4.81","2.41","-1.37","-2.58","1.61"
"big","0.01","0.03","-0.03","-0.02","-0.06","-0.14","0.32","0.39","0.48","-0.79","-0.74","-1.66","-3.43","8.02"
"","","","","r","","","","","","","t(r)","","",""
"small","0.19","0.06","0.01","-0.02","-0.23","-0.27","-0.57","6.57","1.43","0.31","-0.5","-6.53","-7.42","-14.04"
"2","0.29","0.28","0.22","0.12","0.04","-0.19","-0.38","11.21","5.16","6.54","3.44","1.13","-5.71","-10.95"
"3","0.39","0.05","0.23","0.11","0.01","-0.12","-0.44","13.15","0.86","6.49","3.17","0.32","-3.16","-12.43"
"4","0.33","0.25","0.24","0.19","-0.04","-0.35","-0.56","10.63","4.08","6.7","5.17","-1.04","-9.07","-13.88"
"big","0.2","0.23","0.3","0.1","0.01","-0.36","-0.19","7.82","3.4","9.29","3.04","0.25","-9.18","-4.84"
"","","","","c","","","","","","","t(c)","","",""
"small","0.14","0.09","0.1","0.14","0.09","-0.11","-0.1","3.29","1.55","1.89","2.85","1.7","-1.98","-1.67"
"2","0.19","-0.03","0.01","0.2","0.01","-0.15","-0.31","4.94","-0.33","0.11","3.96","0.16","-3.07","-6.04"
"3","0.15","0.21","0.07","0.09","-0.02","-0.22","-0.5","3.35","2.42","1.24","1.75","-0.44","-3.98","-9.53"
"4","0.28","0.51","0.29","0.2","-0.03","-0.1","-0.48","5.98","5.68","5.34","3.59","-0.5","-1.67","-8.06"
"big","0.31","0.5","0.21","-0.08","-0.11","-0.29","-0.52","8","5.09","4.46","-1.76","-2.02","-4.9","-8.98"
